,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,ID,age,gender,polAffil,polAlign_1,educ,langother,englishprof,Q1_1,Q2_1,Q4_1,Q5_1,Q3_1,Q6_1,Q1_2_3,Q1_2_4,Q2_2_1,Q2_2_2,Q4_2_1,Q4_2_2,Q5_2_1,Q5_2_2,Q3_2_1,Q3_2_2,Q6_2_1,Q6_2_2,Condition,survey,Q1_midpoint,Q2_midpoint,Q3_midpoint,Q4_midpoint,Q5_midpoint,Q6_midpoint,Q1_width,Q2_width,Q3_width,Q4_width,Q5_width,Q6_width,width_median,width_mean
0,2022-06-09 06:14:50,2022-06-09 06:19:27,IP Address,100,277,True,2022-06-09 06:19:27,R_3PayyRXR7AXqmtV,anonymous,EN,"I consent, begin the study.",0,34.0,Male,Republican,6.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.25,0.46,1.0,0.75,0.0,1.0,0.01,0.28,0.36,0.68,0.44,0.94,0.4,0.71,0.17,0.55,0.65,1.0,1.0,R_first,0.145,0.52,0.36,0.69,0.5549999999999999,0.825,0.27,0.32,0.38,0.4999999999999999,0.3099999999999999,0.35,0.335,0.355
1,2022-06-09 06:25:35,2022-06-09 06:31:17,IP Address,100,342,True,2022-06-09 06:31:18,R_6hASp0AeGmvblIJ,anonymous,EN,"I consent, begin the study.",1,69.0,Female,Republican,10.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.95,0.26,0.77,0.78,0.29,0.99,0.41,0.61,0.77,0.89,0.45,0.69,0.61,0.79,0.56,0.78,0.74,0.89,0.0,R_first,0.51,0.8300000000000001,0.67,0.57,0.7,0.815,0.2,0.12,0.2199999999999999,0.2399999999999999,0.18,0.15,0.19,0.185
2,2022-06-09 06:40:28,2022-06-09 06:46:21,IP Address,100,353,True,2022-06-09 06:46:22,R_1H6LR02kjkGlrie,anonymous,EN,"I consent, begin the study.",2,26.0,Female,Republican,9.0,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",No,Very well,0.03,0.0,0.77,0.04,0.25,0.96,0.15,0.83,0.25,0.72,0.31,0.71,0.39,0.6,0.12,0.97,0.08,0.97,0.0,R_first,0.49,0.485,0.5449999999999999,0.51,0.495,0.525,0.6799999999999999,0.47,0.85,0.3999999999999999,0.2099999999999999,0.89,0.575,0.5833333333333334
3,2022-06-09 06:44:41,2022-06-09 06:49:49,IP Address,100,308,True,2022-06-09 06:49:50,R_3oQG2326UX2zFis,anonymous,EN,"I consent, begin the study.",3,46.0,Female,Republican,10.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.18,0.82,0.31,0.03,0.11,0.09,0.58,0.78,0.18,0.61,0.16,0.39,0.52,0.64,0.58,0.68,0.55,0.67,1.0,R_first,0.6799999999999999,0.395,0.63,0.275,0.5800000000000001,0.6100000000000001,0.2,0.43,0.1,0.23,0.12,0.12,0.16,0.2
4,2022-06-09 06:54:14,2022-06-09 06:58:13,IP Address,100,239,True,2022-06-09 06:58:13,R_3kn9SuXXhKufAJn,anonymous,EN,"I consent, begin the study.",4,35.0,Female,Republican,8.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.56,0.42,0.81,0.58,0.12,0.56,0.57,0.77,0.58,0.75,0.38,0.78,0.57,0.68,0.07,0.82,0.57,0.74,0.0,R_first,0.6699999999999999,0.665,0.4449999999999999,0.5800000000000001,0.625,0.655,0.2,0.17,0.75,0.4,0.1100000000000001,0.17,0.185,0.3
5,2022-06-09 07:16:40,2022-06-09 07:18:56,IP Address,100,136,True,2022-06-09 07:18:56,R_3HN9rAX6ahVo8qU,anonymous,EN,"I consent, begin the study.",5,34.0,Female,Republican,10.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,1.0,0.0,1.0,0.51,1.0,0.77,0.6,0.65,0.45,0.58,0.46,0.6,0.51,0.58,0.47,0.61,0.44,0.58,1.0,R_first,0.625,0.515,0.54,0.53,0.5449999999999999,0.51,0.05,0.1299999999999999,0.14,0.1399999999999999,0.0699999999999999,0.1399999999999999,0.1349999999999999,0.1116666666666666
6,2022-06-09 07:11:42,2022-06-09 07:20:38,IP Address,100,535,True,2022-06-09 07:20:38,R_1i9zlKfDahPlCjO,anonymous,EN,"I consent, begin the study.",6,35.0,Female,Republican,10.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",No,Very well,0.0,1.0,0.71,1.0,0.0,0.0,0.52,0.52,0.52,0.53,0.52,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.0,R_first,0.52,0.525,0.52,0.525,0.52,0.52,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0033333333333333
7,2022-06-09 07:03:08,2022-06-09 07:20:47,IP Address,100,1059,True,2022-06-09 07:20:48,R_p9H4GxH45ZHrvzj,anonymous,EN,"I consent, begin the study.",7,53.0,Female,Republican,8.0,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),No,Very well,0.25,0.25,0.9,0.25,0.25,0.85,0.34,0.79,0.25,0.66,0.35,0.57,0.51,0.75,0.25,0.62,0.24,0.67,1.0,R_first,0.5650000000000001,0.455,0.435,0.4599999999999999,0.63,0.455,0.45,0.41,0.37,0.2199999999999999,0.24,0.43,0.39,0.3533333333333333
8,2022-06-09 07:17:44,2022-06-09 07:22:12,IP Address,100,268,True,2022-06-09 07:22:12,R_3JnnAKQs2onPrnb,anonymous,EN,"I consent, begin the study.",8,52.0,Female,Republican,8.0,"Bachelor's degree (For example: BA, AB, BS)",Yes,Very well,0.64,0.76,1.0,0.26,0.06,0.61,0.34,0.68,0.42,0.63,0.44,0.94,0.51,0.51,0.38,0.63,0.25,0.8,1.0,R_first,0.51,0.525,0.505,0.69,0.51,0.525,0.34,0.21,0.25,0.4999999999999999,0.0,0.55,0.295,0.3083333333333333
9,2022-06-09 07:23:52,2022-06-09 07:27:22,IP Address,100,210,True,2022-06-09 07:27:22,R_12u09yYOSFZA562,anonymous,EN,"I consent, begin the study.",9,32.0,Male,Republican,9.0,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),No,Very well,0.34,0.75,0.75,0.76,0.33,0.8,0.49,0.76,0.61,0.65,0.42,0.84,0.34,0.61,0.43,0.62,0.32,0.63,0.0,R_first,0.625,0.63,0.525,0.63,0.475,0.475,0.27,0.04,0.19,0.42,0.2699999999999999,0.31,0.27,0.25
10,2022-06-09 07:22:44,2022-06-09 07:30:57,IP Address,100,492,True,2022-06-09 07:30:57,R_3prMJRa1981VpN6,anonymous,EN,"I consent, begin the study.",10,57.0,Male,Republican,10.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.95,0.96,0.18,0.07,0.09,0.94,0.1,0.62,0.46,0.55,0.34,0.7,0.4,0.69,0.25,0.48,0.45,0.55,1.0,R_first,0.36,0.505,0.365,0.52,0.5449999999999999,0.5,0.52,0.09,0.2299999999999999,0.3599999999999999,0.2899999999999999,0.1,0.2599999999999999,0.2649999999999999
11,2022-06-09 07:27:43,2022-06-09 07:31:58,IP Address,100,254,True,2022-06-09 07:31:58,R_2YSdCsP2WubTlwp,anonymous,EN,"I consent, begin the study.",11,36.0,Male,Republican,7.0,"Bachelor's degree (For example: BA, AB, BS)",Yes,Very well,0.77,0.71,0.13,0.22,0.4,0.71,0.39,0.86,0.36,0.8,0.43,0.74,0.33,0.75,0.24,0.66,0.43,0.63,1.0,R_first,0.625,0.5800000000000001,0.45,0.585,0.54,0.53,0.47,0.44,0.42,0.31,0.42,0.2,0.42,0.3766666666666667
12,2022-06-09 07:21:21,2022-06-09 07:33:05,IP Address,100,704,True,2022-06-09 07:33:05,R_2R2KPdOdaXSUl7r,anonymous,EN,"I consent, begin the study.",12,54.0,Female,Republican,5.0,Some college but no degree,No,Very well,0.53,0.56,0.45,1.0,0.99,1.0,0.53,1.0,0.2,0.86,0.0,0.55,0.26,0.83,0.28,0.82,0.19,0.83,0.0,R_first,0.765,0.53,0.55,0.275,0.5449999999999999,0.51,0.47,0.6599999999999999,0.5399999999999999,0.55,0.57,0.6399999999999999,0.56,0.5716666666666667
13,2022-06-09 07:03:59,2022-06-09 07:39:01,IP Address,100,2101,True,2022-06-09 07:39:02,R_06QS29FNa9icM0x,anonymous,EN,"I consent, begin the study.",13,26.0,Female,Republican,7.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.0,0.7,1.0,0.11,0.17,1.0,0.48,0.65,0.3,0.6,0.24,0.34,0.26,0.72,0.03,0.14,0.45,0.5,0.0,R_first,0.565,0.4499999999999999,0.085,0.29,0.49,0.475,0.17,0.3,0.11,0.1,0.4599999999999999,0.0499999999999999,0.14,0.1983333333333333
